время,На каком курсе вы обучаетесь?,Сколько вам лет?,Занимаетесь ли вы каким-то спортом вне ВУЗа ?,Ваш пол,Сколько приблизительно пар вы пропускаете в неделю?,Подрабатываете ли вы или работаете помимо ВУЗа?,"Сколько приблизительно часов в неделю вы уделяете на выполнения домашнего задания и закрепления информации, полученной в ВУЗе?",Где вы проживаете?,Сколько вы зарабатываете с учетом стипендии?,Укажите количество родных братьев или сестер,На какой основе вы обучаетесь?,Укажите ваш суммарный балл ЕГЭ,Сколько времени в часах занимает ваша дорога до ВУЗа?,Считаете ли вы высшим образованием необходимым?,Ваша средняя оценка за предыдущий семестр
07.10.2023 11:46:41,1 курс (магистратуры),21,Да,Мужской,5,Сконцентрирован(а) только на учёбе,6,Есть своя квартира,5000,1,На бюджетной основе,222,"1,5",Да,"4,2"
07.10.2023 18:34:16,1  курс (бакалавриата),18,Нет,Женский,1,Сконцентрирован(а) только на учёбе,5,В общежитии,1920,0,На бюджетной основе,246,"1,5",Нет,
07.10.2023 23:06:50,1  курс (бакалавриата),18,Нет,Женский,0,Сконцентрирован(а) только на учёбе,10,Живу с родственниками,2000,1,На бюджетной основе,247,1,Да,
08.10.2023 12:17:06,1  курс (бакалавриата),18,Да,Мужской,0,Нахожу варианты подработки,20,Живу с родственниками,12000,2,На целевой основе,194,1,Да,
08.10.2023 12:55:38,3 курс (бакалавриата),19,Нет,Мужской,15,Сконцентрирован(а) только на учёбе,10,В общежитии,3300,0,На бюджетной основе,272,1,Нет,"4,7"
08.10.2023 14:31:16,2 курс (бакалавриата),19,Нет,Женский,2,Нахожу варианты подработки,3,В общежитии,23000,2,На бюджетной основе,279,"0,5",Нет,"4,75"
08.10.2023 21:22:26,4 курс (бакалавриата),18,Да,Женский,1,Нахожу варианты подработки,15,Живу с родственниками,900,2,На бюджетной основе,,"0,6",Да,4
08.10.2023 22:49:16,2 курс (бакалавриата),19,Нет,Мужской,4,Нахожу варианты подработки,4,Снимаю квартиру (один или с кем-то),20000,0,На бюджетной основе,241,1,Нет,"4,6"
09.10.2023 5:55:27,1  курс (бакалавриата),17,Да,Мужской,0,Сконцентрирован(а) только на учёбе,20,В общежитии,2000,3,На бюджетной основе,232,"0,5",Да,5
11.10.2023 18:40:53,3 курс (бакалавриата),19,Нет,Женский,3,Имею постоянную работу,15,В общежитии,7000,0,На бюджетной основе,249,"1,3",Да,"4,11"
12.10.2023 16:11:58,1  курс (бакалавриата),18,Да,Мужской,4,Имею постоянную работу,4,В общежитии,62000,4,На бюджетной основе,240,0.5,Да,-
14.10.2023 21:50:24,4 курс (бакалавриата),21,Нет,Мужской,4,Нахожу варианты подработки,5-6,Есть своя квартира,35000,1,На бюджетной основе,225,1,Да,"4,43"
17.10.2023 1:27:21,2 курс (бакалавриата),19,Да,Женский,3,Сконцентрирован(а) только на учёбе,5-10,В общежитии,4200,1,На бюджетной основе,239,1,Нет,5
